temperature,city,pression,date
282.14,London,1007,2022-11-18 22:15
273.57,Washington,1036,2022-11-18 22:15
280.15,Paris,1008,2022-11-18 21:59
282.15,London,1007,2022-11-18 21:59
273.51,Washington,1036,2022-11-18 21:59
280.15,Paris,1008,2022-11-18 21:58
282.15,London,1007,2022-11-18 21:58
273.12,Washington,1036,2022-11-18 21:58
280.15,Paris,1008,2022-11-18 21:57
282.15,London,1007,2022-11-18 21:57
273.12,Washington,1036,2022-11-18 21:57
279.75,Paris,1008,2022-11-18 21:56
282.19,London,1007,2022-11-18 21:56
273.12,Washington,1036,2022-11-18 21:56
279.75,Paris,1008,2022-11-18 21:55
282.19,London,1007,2022-11-18 21:55
273.12,Washington,1036,2022-11-18 21:55
280.02,Paris,1008,2022-11-18 21:25
282.41,London,1007,2022-11-18 21:25
273.24,Washington,1037,2022-11-18 21:25
280.53,Paris,1008,2022-11-18 21:24
282.51,London,1006,2022-11-18 21:24
273.05,Washington,1037,2022-11-18 21:24
280.53,Paris,1008,2022-11-18 21:23
282.51,London,1006,2022-11-18 21:23
273.05,Washington,1037,2022-11-18 21:23
280.53,Paris,1008,2022-11-18 21:22
282.51,London,1006,2022-11-18 21:22
273.05,Washington,1037,2022-11-18 21:22
280.53,Paris,1008,2022-11-18 21:21
282.51,London,1006,2022-11-18 21:21
273.05,Washington,1037,2022-11-18 21:21
280.53,Paris,1008,2022-11-18 21:20
282.51,London,1006,2022-11-18 21:20
273.05,Washington,1037,2022-11-18 21:20
280.53,Paris,1008,2022-11-18 21:19
282.51,London,1006,2022-11-18 21:19
273.05,Washington,1037,2022-11-18 21:19
281.37,Paris,1008,2022-11-18 19:24
283.29,London,1005,2022-11-18 19:24
271.21,Washington,1039,2022-11-18 19:24
281.37,Paris,1008,2022-11-18 19:23
283.29,London,1005,2022-11-18 19:23
271.21,Washington,1039,2022-11-18 19:23
281.37,Paris,1008,2022-11-18 19:21
283.29,London,1005,2022-11-18 19:21
271.21,Washington,1039,2022-11-18 19:21
281.64,Paris,1008,2022-11-18 19:20
283.29,London,1005,2022-11-18 19:20
271.21,Washington,1039,2022-11-18 19:20
281.29,Paris,1008,2022-11-18 19:05
283.28,London,1005,2022-11-18 19:05
270.81,Washington,1039,2022-11-18 19:05
281.29,Paris,1008,2022-11-18 19:04
283.28,London,1005,2022-11-18 19:04
270.81,Washington,1039,2022-11-18 19:04
281.29,Paris,1008,2022-11-18 19:03
283.28,London,1005,2022-11-18 19:03
270.81,Washington,1039,2022-11-18 19:03
281.29,Paris,1008,2022-11-18 19:02
283.28,London,1005,2022-11-18 19:02
270.81,Washington,1039,2022-11-18 19:02
281.29,Paris,1008,2022-11-18 19:01
283.27,London,1005,2022-11-18 19:01
270.81,Washington,1039,2022-11-18 19:01
281.28,Paris,1008,2022-11-18 19:00
283.27,London,1005,2022-11-18 19:00
270.81,Washington,1039,2022-11-18 19:00
281.45,Paris,1008,2022-11-18 18:53
283.31,London,1005,2022-11-18 18:53
270.55,Washington,1039,2022-11-18 18:53
281.45,Paris,1008,2022-11-18 18:52
283.33,London,1005,2022-11-18 18:52
270.55,Washington,1039,2022-11-18 18:52
281.45,Paris,1008,2022-11-18 18:51
283.33,London,1005,2022-11-18 18:51
270.55,Washington,1039,2022-11-18 18:51
282.08,Paris,1007,2022-11-18 18:50
283.33,London,1005,2022-11-18 18:50
270.55,Washington,1039,2022-11-18 18:50
282.04,Paris,1007,2022-11-18 18:31
283.42,London,1004,2022-11-18 18:31
269.73,Washington,1039,2022-11-18 18:31
282.04,Paris,1007,2022-11-18 18:30
283.42,London,1004,2022-11-18 18:30
269.73,Washington,1039,2022-11-18 18:30
282.04,Paris,1007,2022-11-18 18:29
283.42,London,1004,2022-11-18 18:29
269.73,Washington,1039,2022-11-18 18:29
282.04,Paris,1007,2022-11-18 18:28
283.46,London,1004,2022-11-18 18:28
269.73,Washington,1039,2022-11-18 18:28
282.17,Paris,1007,2022-11-18 18:15
283.43,London,1004,2022-11-18 18:15
269.97,Washington,1039,2022-11-18 18:15
282.17,Paris,1007,2022-11-18 18:14
283.43,London,1004,2022-11-18 18:14
269.97,Washington,1039,2022-11-18 18:14
282.17,Paris,1007,2022-11-18 18:13
283.43,London,1004,2022-11-18 18:13
269.97,Washington,1039,2022-11-18 18:13
282.17,Paris,1007,2022-11-18 18:10
283.48,London,1004,2022-11-18 18:10
270.22,Washington,1039,2022-11-18 18:10
282.12,Paris,1007,2022-11-18 18:06
283.48,London,1004,2022-11-18 18:06
270.22,Washington,1039,2022-11-18 18:06
